||rk||2 / ||r0|||2;||ek||A
0.00032634;1.41269
0.000350397;1.41072
0.00037605;1.40839
0.000389196;1.40571
0.000441087;1.40244
0.000485909;1.39852
0.000549355;1.39338
0.000612473;1.38724
0.000711617;1.37972
0.000777106;1.36953
0.000790112;1.35887
0.000720309;1.34793
0.000618026;1.33915
0.000546004;1.33181
0.00048852;1.32659
0.000439329;1.32231
0.000420192;1.31937
0.000379899;1.31663
0.000343417;1.31406
0.00032387;1.31188
0.000299367;1.31006
0.000272092;1.3086
0.000235082;1.30747
0.000232621;1.30636
0.000242961;1.30525
0.000256017;1.30401
0.000266586;1.30265
0.000282821;1.30135
0.000285034;1.29987
0.000281439;1.29833
0.000255103;1.29685
0.000266099;1.29554
0.000266175;1.29428
0.000271775;1.29301
0.000261547;1.29166
0.000264924;1.2902
0.00026263;1.28872
0.000274484;1.28727
0.000274953;1.28583
0.000291417;1.28436
0.000310772;1.28259
0.000306864;1.28072
0.00032009;1.27878
0.00032149;1.27678
0.000367955;1.27456
0.000391767;1.27215
0.000438959;1.26886
0.00047479;1.26455
0.000514912;1.25942
0.00052229;1.25356
0.00053138;1.24816
0.000499569;1.24324
0.000486604;1.23832
0.000437659;1.23362
0.000409494;1.22932
0.000363557;1.22592
0.000344047;1.22316
0.00030821;1.22101
0.000281587;1.21936
0.000252723;1.21803
0.000231033;1.21679
0.000212891;1.21582
0.000196472;1.21495
0.000181349;1.21426
0.000167128;1.21364
0.000158034;1.21309
0.000138266;1.21262
0.000130633;1.21222
0.000139175;1.21182
0.00015103;1.21139
0.000159893;1.21093
0.000169766;1.21036
0.000177841;1.20973
0.000169905;1.20905
0.000179168;1.20835
0.000189835;1.20755
0.00020491;1.20668
0.000213328;1.20578
0.000228569;1.20482
0.000238605;1.20372
0.000245832;1.20246
0.000278034;1.20102
0.000287364;1.19945
0.000298774;1.19779
0.000290307;1.19604
0.00028841;1.1942
0.000295061;1.19233
0.000299989;1.19044
0.000301133;1.18863
0.000288519;1.18687
0.000271979;1.1852
0.000254904;1.18355
0.000228041;1.18224
0.000209021;1.18115
0.000201618;1.18022
0.00018649;1.1794
0.000181189;1.17871
0.000169133;1.1781
0.000163704;1.17751
0.000155865;1.17689
0.000142587;1.17639
0.000132264;1.17601
0.00011927;1.17571
0.00011108;1.17544
0.000100729;1.17519
9.51353e-05;1.17498
9.4798e-05;1.17478
9.49429e-05;1.17459
9.94902e-05;1.17442
0.00010244;1.17421
0.000116446;1.17393
0.000124978;1.17365
0.000143445;1.17329
0.000154821;1.17284
0.000161483;1.17224
0.000173698;1.17161
0.000193651;1.17086
0.000214625;1.17008
0.000245386;1.16902
0.000269709;1.16757
0.000300241;1.16563
0.000330935;1.16344
0.000344837;1.16122
0.000327971;1.15881
0.000295741;1.15636
0.000264333;1.15455
0.000236922;1.15304
0.0002071;1.15193
0.000183177;1.15117
0.00015625;1.15055
0.000131944;1.15009
0.000119832;1.14977
0.000108945;1.14951
9.85013e-05;1.1493
8.5711e-05;1.1491
8.07698e-05;1.14894
7.77793e-05;1.14879
8.08985e-05;1.14867
8.47592e-05;1.14853
9.63988e-05;1.14837
0.000118655;1.14811
0.000151681;1.14773
0.00018404;1.14716
0.000198914;1.14639
0.000222908;1.14531
0.000255411;1.14409
0.00026938;1.14277
0.000281965;1.14117
0.000281319;1.13931
0.000285615;1.13751
0.000282645;1.13572
0.000272981;1.13417
0.00024434;1.13259
0.000222773;1.13131
0.000197271;1.13027
0.000173699;1.12951
0.000148611;1.129
0.000117686;1.12863
9.88344e-05;1.12836
8.57549e-05;1.12818
7.70203e-05;1.12804
6.47829e-05;1.12793
5.73088e-05;1.12785
5.52407e-05;1.12778
5.53806e-05;1.12771
5.60831e-05;1.12765
5.66655e-05;1.12758
6.46289e-05;1.1275
7.83413e-05;1.12738
8.92154e-05;1.12723
0.00010121;1.12704
0.000117179;1.12676
0.000130732;1.1264
0.000141303;1.12593
0.000156413;1.12542
0.000166034;1.1249
0.000165301;1.12435
0.00015958;1.12374
0.000166887;1.12316
0.000164848;1.12261
